,0,1,2,3,4,5,6,7,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8
0,User 1 Distance Matrix,,,,,,,,,,,,,,,
Action 1,,,,,,,,,0.0,2141.186154310618,1828.4714358505782,1746.1620540724216,2289.9792742638083,2269.060785276984,1726.8148398700507,1537.67050016927
Action 2,,,,,,,,,2141.186154310618,0.0,2348.6185582635558,2463.0468982703674,2812.894186460129,2763.48161050382,2267.111608574852,2069.4279478191356
Action 3,,,,,,,,,1828.4714358505782,2348.6185582635558,0.0,2630.1433747406186,3157.654738177968,3017.382298295118,2382.1307619474746,2059.8388326508084
Action 4,,,,,,,,,1746.1620540724216,2463.0468982703674,2630.1433747406186,0.0,1549.874145479139,1452.3880965605547,1474.881092418454,1192.3688384413863
Action 5,,,,,,,,,2289.9792742638083,2812.894186460129,3157.654738177968,1549.874145479139,0.0,732.7416798225597,1533.569467300755,1789.9318746355395
Action 6,,,,,,,,,2269.060785276984,2763.48161050382,3017.382298295118,1452.3880965605547,732.7416798225597,0.0,1389.875101779393,1840.7400128566726
Action 7,,,,,,,,,1726.8148398700507,2267.111608574852,2382.1307619474746,1474.881092418454,1533.569467300755,1389.875101779393,0.0,1477.7324382621887
Action 8,,,,,,,,,1537.67050016927,2069.4279478191356,2059.8388326508084,1192.3688384413863,1789.9318746355395,1840.7400128566726,1477.7324382621887,0.0
0,,,,,,,,,,,,,,,,
0,User 2 Distance Matrix,,,,,,,,,,,,,,,
Action 1,,,,,,,,,0.0,1799.6384729143185,2245.9937285093224,3144.364985876574,2281.8665632324924,2344.3375626226793,1419.4749547561958,2479.4383419154456
Action 2,,,,,,,,,1799.6384729143185,0.0,1865.8139372416645,2697.019220331064,3209.6149094622806,2998.1254681549403,1717.452191008768,2601.7625739075825
Action 3,,,,,,,,,2245.9937285093224,1865.8139372416645,0.0,3786.3477502447545,4266.05968944185,4109.909778848077,2911.6472475204732,3640.439537434307
Action 4,,,,,,,,,3144.364985876574,2697.019220331064,3786.3477502447545,0.0,1954.8308031193178,3116.0109349838913,2833.198111437465,2504.2415827069103
Action 5,,,,,,,,,2281.8665632324924,3209.6149094622806,4266.05968944185,1954.8308031193178,0.0,2867.448869118008,2654.5906884456194,2310.2336619547928
Action 6,,,,,,,,,2344.3375626226793,2998.1254681549403,4109.909778848077,3116.0109349838913,2867.448869118008,0.0,2094.29641850295,2243.95366028988
Action 7,,,,,,,,,1419.4749547561958,1717.452191008768,2911.6472475204732,2833.198111437465,2654.5906884456194,2094.29641850295,0.0,2532.7728109489235
Action 8,,,,,,,,,2479.4383419154456,2601.7625739075825,3640.439537434307,2504.2415827069103,2310.2336619547928,2243.95366028988,2532.7728109489235,0.0
0,,,,,,,,,,,,,,,,
0,User 3 Distance Matrix,,,,,,,,,,,,,,,
Action 1,,,,,,,,,0.0,1505.947411741543,1372.3068745892726,2313.553964858928,2193.3675065994885,2276.894817466572,2300.4822444795514,1654.6901763606659
Action 2,,,,,,,,,1505.947411741543,0.0,1232.3395429680381,2141.825028564395,1732.4783264040702,2105.1658824923356,1924.600103308008,1423.3365259267853
Action 3,,,,,,,,,1372.3068745892726,1232.3395429680381,0.0,2225.5476465123425,1901.8131141083709,2188.888474050379,2016.3665991055013,1469.1638978686724
Action 4,,,,,,,,,2313.553964858928,2141.825028564395,2225.5476465123425,0.0,1942.0670899104307,878.3730071765965,2469.7550621088567,1750.1616178992265
Action 5,,,,,,,,,2193.3675065994885,1732.4783264040702,1901.8131141083709,1942.0670899104307,0.0,1846.5814903629773,1258.6118833664468,1346.6065024585052
Action 6,,,,,,,,,2276.894817466572,2105.1658824923356,2188.888474050379,878.3730071765965,1846.5814903629773,0.0,1962.6005188963338,1362.078366062874
Action 7,,,,,,,,,2300.4822444795514,1924.600103308008,2016.3665991055013,2469.7550621088567,1258.6118833664468,1962.6005188963338,0.0,1436.2667899768724
Action 8,,,,,,,,,1654.6901763606659,1423.3365259267853,1469.1638978686724,1750.1616178992265,1346.6065024585052,1362.078366062874,1436.2667899768724,0.0
